date,team,opponent,home_away,result,team_score,opponent_score,goals,ast,sh_att,so_g,fouls,rc,yc,gc,ggp,ggs,min,ga,sv,sho,g_wins,g_loss,d_sv,corners,ps,psa,defensive_goals,defensive_ast,defensive_sh_att,defensive_so_g,defensive_fouls,defensive_rc,defensive_yc,defensive_gc,defensive_ggp,defensive_ggs,defensive_min,defensive_ga,defensive_sv,defensive_sho,defensive_g_wins,defensive_g_loss,defensive_d_sv,defensive_corners,defensive_ps,defensive_psa
2023-08-25,American Eagles,Ohio,Home,W,5,1,5,4,11,6,0,0,0,0,0,0,NA,1,7,0,0,NA,NA,5,NA,NA,1,1,11,8,0,0,0,0,0,0,NA,5,1,0,0,NA,NA,7,NA,NA
2023-08-27,American Eagles,Penn St.,Home,L,2,3,2,1,9,7,0,0,0,0,0,0,NA,3,11,0,0,NA,NA,3,NA,NA,3,0,27,14,0,0,0,4,0,0,NA,2,5,0,0,NA,NA,13,NA,NA
2023-09-01,American Eagles,Richmond,Away,W,2,1,2,2,5,4,17,0,0,1,0,0,NA,1,4,0,0,NA,NA,3,NA,NA,1,1,11,5,23,0,0,1,0,0,NA,2,2,0,0,NA,NA,5,NA,NA
2023-09-03,American Eagles,Liberty,Away,L,0,1,0,0,8,2,0,0,0,0,0,0,NA,0,5,1,0,NA,NA,6,NA,NA,0,0,17,5,0,0,0,1,0,0,NA,0,2,1,0,NA,NA,6,NA,1
2023-09-09,American Eagles,Yale ,Away,W,4,0,4,4,16,12,0,0,2,3,0,0,NA,0,3,1,0,NA,NA,6,NA,NA,0,0,7,3,0,0,1,1,0,0,NA,4,8,0,0,NA,NA,6,NA,NA
2023-09-10,American Eagles,Miami (OH) ,Away,L,1,2,1,0,10,7,0,0,1,2,0,0,NA,2,3,0,0,NA,NA,4,1,1,2,1,9,5,0,0,1,1,0,0,NA,1,6,0,0,NA,NA,11,NA,NA
2023-09-16,American Eagles,Colgate,Away,W,2,1,2,1,19,12,25,0,0,2,0,0,NA,1,1,0,0,NA,NA,11,NA,NA,1,1,4,2,31,0,0,0,0,0,NA,2,10,0,0,NA,NA,3,NA,NA
2023-09-17,American Eagles,Cornell,Away,L,1,2,1,0,14,8,70,0,0,2,0,0,NA,2,11,0,0,NA,NA,9,NA,NA,2,2,17,13,60,0,0,2,0,0,NA,1,7,0,0,NA,NA,12,NA,NA
2023-09-23,American Eagles,Lafayette,Home,W,3,1,3,2,7,5,0,0,0,1,0,0,NA,1,2,0,0,NA,NA,5,NA,NA,1,1,4,3,0,0,0,0,0,0,NA,3,2,0,0,NA,NA,2,NA,NA
2023-10-01,American Eagles,Delaware,Away,L,1,2,1,1,19,14,14,0,1,1,0,0,NA,2,9,0,0,NA,2,16,NA,NA,2,2,14,11,9,0,0,1,0,0,NA,1,13,0,0,NA,1,7,NA,NA
2023-08-25,App State Mountaineers,Towson,Away,W,3,1,3,3,15,5,0,0,0,0,0,0,NA,1,5,0,0,NA,NA,3,NA,NA,1,1,14,6,0,0,0,1,0,0,NA,3,2,0,0,NA,NA,6,NA,NA
2023-08-27,App State Mountaineers,"Georgetown Towson, Md.",Away,W,4,1,4,7,11,8,0,0,0,1,0,0,NA,1,4,0,0,NA,NA,7,NA,NA,1,2,11,5,0,0,0,1,0,0,NA,4,4,0,0,NA,NA,4,NA,NA
2023-09-01,App State Mountaineers,Drexel,Home,L,0,3,0,0,6,4,0,0,0,2,0,0,NA,3,5,0,0,NA,NA,2,NA,NA,3,5,9,8,0,0,1,2,0,0,NA,0,4,1,0,NA,NA,5,NA,NA
2023-09-03,App State Mountaineers,Davidson,Home,W,1,0,1,1,9,3,0,0,0,0,0,0,NA,0,5,1,0,NA,NA,5,NA,NA,0,0,8,5,0,0,0,1,0,0,NA,1,2,0,0,NA,NA,2,NA,NA
2023-09-08,App State Mountaineers,James Madison,Away,W,2,1,2,1,8,4,28,0,0,1,0,0,NA,1,3,0,0,NA,NA,1,NA,NA,1,0,8,4,35,0,0,0,0,0,NA,2,2,0,0,NA,NA,1,NA,NA
2023-09-10,App State Mountaineers,Wake Forest,Away,L,0,3,0,0,9,5,0,0,1,3,0,0,NA,3,6,0,0,NA,NA,7,NA,NA,3,2,20,9,0,0,0,1,0,0,NA,0,5,1,0,NA,NA,4,NA,NA
2023-09-15,App State Mountaineers,Bellarmine,Away,W,4,2,4,6,11,8,0,0,0,1,0,0,NA,2,2,0,0,NA,NA,3,NA,NA,2,3,4,4,0,0,0,0,0,0,NA,4,4,0,0,NA,NA,3,NA,NA
2023-09-22,App State Mountaineers,Miami (OH),Home,L,1,4,1,0,7,2,0,0,1,2,0,0,NA,4,4,0,0,NA,NA,5,1,1,4,3,10,8,0,0,0,1,0,0,NA,1,1,0,0,NA,NA,4,1,1
2023-09-24,App State Mountaineers,North Carolina,Away,L,1,6,1,1,2,1,0,0,1,0,0,0,NA,6,10,0,0,NA,NA,1,NA,NA,6,3,28,16,0,0,0,0,0,0,NA,1,0,0,0,NA,NA,8,1,1
2023-09-29,App State Mountaineers,Central Mich.,Away,W,3,1,3,2,27,13,9,0,0,0,0,0,NA,1,0,0,0,NA,NA,8,NA,NA,1,0,2,1,3,0,0,0,0,0,NA,3,10,0,0,NA,NA,NA,NA,NA
2023-09-30,App State Mountaineers,Lindenwood ,Away,W,3,1,3,1,23,14,4,0,0,0,0,0,NA,1,4,0,0,NA,NA,5,NA,NA,1,0,12,5,4,0,0,0,0,0,NA,3,11,0,0,NA,NA,3,NA,NA
2023-08-25,Ball St. Cardinals,Villanova,Away,L,3,4,3,1,16,6,15,0,1,1,0,0,NA,4,16,0,0,NA,NA,8,NA,NA,4,2,31,20,24,0,1,1,0,0,NA,3,3,0,0,NA,NA,13,NA,1
2023-08-27,Ball St. Cardinals,Lehigh,Away,L,3,4,3,4,12,6,0,0,0,0,0,0,NA,4,11,0,0,NA,NA,7,NA,NA,4,3,23,15,0,0,0,1,0,0,NA,3,3,0,0,NA,NA,11,1,1
