date,team,opponent,home_away,result,team_score,opponent_score,goals,ast,sh_att,so_g,fouls,rc,yc,gc,ggp,ggs,min,ga,sv,sho,g_wins,g_loss,d_sv,corners,ps,psa,defensive_goals,defensive_ast,defensive_sh_att,defensive_so_g,defensive_fouls,defensive_rc,defensive_yc,defensive_gc,defensive_ggp,defensive_ggs,defensive_min,defensive_ga,defensive_sv,defensive_sho,defensive_g_wins,defensive_g_loss,defensive_d_sv,defensive_corners,defensive_ps,defensive_psa
2023-08-25,American Eagles,Ohio,Home,W,5,1,5,4,11,6,0,0,0,0,0,0,NA,1,7,0,0,NA,NA,5,NA,NA,1,1,11,8,0,0,0,0,0,0,NA,5,1,0,0,NA,NA,7,NA,NA
2023-08-27,American Eagles,Penn St.,Home,L,2,3,2,1,9,7,0,0,0,0,0,0,NA,3,11,0,0,NA,NA,3,NA,NA,3,0,27,14,0,0,0,4,0,0,NA,2,5,0,0,NA,NA,13,NA,NA
2023-09-01,American Eagles,Richmond,Away,W,2,1,2,2,5,4,17,0,0,1,0,0,NA,1,4,0,0,NA,NA,3,NA,NA,1,1,11,5,23,0,0,1,0,0,NA,2,2,0,0,NA,NA,5,NA,NA
2023-09-03,American Eagles,Liberty,Away,L,0,1,0,0,8,2,0,0,0,0,0,0,NA,0,5,1,0,NA,NA,6,NA,NA,0,0,17,5,0,0,0,1,0,0,NA,0,2,1,0,NA,NA,6,NA,1
2023-08-25,App State Mountaineers,Towson,Away,W,3,1,3,3,15,5,0,0,0,0,0,0,NA,1,5,0,0,NA,NA,3,NA,NA,1,1,14,6,0,0,0,1,0,0,NA,3,2,0,0,NA,NA,6,NA,NA
2023-08-27,App State Mountaineers,"Georgetown Towson, Md.",Away,W,4,1,4,7,11,8,0,0,0,1,0,0,NA,1,4,0,0,NA,NA,7,NA,NA,1,2,11,5,0,0,0,1,0,0,NA,4,4,0,0,NA,NA,4,NA,NA
2023-09-01,App State Mountaineers,Drexel,Home,L,0,3,0,0,6,4,0,0,0,2,0,0,NA,3,5,0,0,NA,NA,2,NA,NA,3,5,9,8,0,0,1,2,0,0,NA,0,4,1,0,NA,NA,5,NA,NA
2023-09-03,App State Mountaineers,Davidson,Home,W,1,0,1,1,9,3,0,0,0,0,0,0,NA,0,5,1,0,NA,NA,5,NA,NA,0,0,8,5,0,0,0,1,0,0,NA,1,2,0,0,NA,NA,2,NA,NA
2023-08-25,Ball St. Cardinals,Villanova,Away,L,3,4,3,1,16,6,15,0,1,1,0,0,NA,4,16,0,0,NA,NA,8,NA,NA,4,2,31,20,24,0,1,1,0,0,NA,3,3,0,0,NA,NA,13,NA,1
2023-08-27,Ball St. Cardinals,Lehigh,Away,L,3,4,3,4,12,6,0,0,0,0,0,0,NA,4,11,0,0,NA,NA,7,NA,NA,4,3,23,15,0,0,0,1,0,0,NA,3,3,0,0,NA,NA,11,1,1
2023-09-01,Ball St. Cardinals,"Bucknell Columbus, Ohio",Away,L,1,2,1,1,9,5,0,0,0,3,0,0,NA,2,9,0,0,NA,NA,4,NA,NA,2,2,18,11,0,0,0,2,0,0,NA,1,4,0,0,NA,NA,2,NA,1
2023-09-03,Ball St. Cardinals,"New Hampshire Columbus, Ohio",Away,L,1,4,1,0,13,4,0,0,0,1,0,0,NA,4,8,0,0,NA,1,1,NA,NA,4,2,18,12,0,0,0,0,0,0,NA,1,3,0,0,NA,NA,2,1,1
2023-08-25,Bellarmine Knights,Saint Louis,Home,W,3,1,3,2,11,6,0,0,0,1,0,0,NA,1,4,0,0,NA,NA,5,NA,NA,1,1,10,5,0,0,0,1,0,0,NA,3,3,0,0,NA,1,8,NA,NA
2023-08-27,Bellarmine Knights,Northeastern,Home,L,1,3,1,0,7,6,0,0,1,2,0,0,NA,3,10,0,0,NA,NA,5,NA,NA,3,2,24,13,0,0,0,0,0,0,NA,1,5,0,0,NA,NA,11,NA,NA
2023-08-31,Bellarmine Knights,Saint Francis (PA),Home,L,1,3,1,1,14,8,0,0,0,2,0,0,NA,3,3,0,0,NA,NA,12,NA,NA,3,2,12,6,0,0,1,2,0,0,NA,1,7,0,0,NA,NA,11,NA,NA
2023-09-03,Bellarmine Knights,Towson,Home,L,1,2,1,1,7,2,0,0,0,0,0,0,NA,2,8,0,0,NA,1,4,NA,NA,2,1,14,10,0,0,0,0,0,0,NA,1,1,0,0,NA,NA,6,NA,NA
2023-08-25,Boston College Eagles,Maine,Away,W,3,1,3,4,12,6,30,0,0,0,0,0,NA,1,2,0,0,NA,NA,8,NA,NA,1,1,4,3,23,0,0,1,0,0,NA,3,3,0,0,NA,1,3,NA,NA
2023-08-26,Boston College Eagles,Providence ,Away,W,3,0,3,4,20,16,29,0,0,1,0,0,NA,0,0,1,0,NA,NA,8,1,1,0,0,1,0,28,0,0,0,0,0,NA,3,13,0,0,NA,NA,1,NA,NA
2023-09-01,Boston College Eagles,Northwestern ,Away,L,0,1,0,0,8,5,0,0,0,1,0,0,NA,1,4,0,0,NA,NA,5,NA,NA,1,1,13,5,0,0,0,1,0,0,NA,0,5,1,0,NA,NA,7,NA,NA
2023-09-03,Boston College Eagles,Maryland,Away,L,0,1,0,0,8,3,0,0,0,3,0,0,NA,1,8,0,0,NA,1,3,NA,NA,1,1,13,9,0,0,0,2,0,0,NA,0,3,1,0,NA,NA,3,NA,NA
2023-08-25,Boston U. Terriers,Michigan St.,Home,L,1,3,1,0,12,6,0,0,0,0,0,0,NA,3,5,0,0,NA,NA,3,NA,NA,3,2,11,8,0,0,0,1,0,0,NA,1,5,0,0,NA,NA,7,NA,NA
2023-09-01,Boston U. Terriers,Maine,Away,W,3,2,3,3,8,4,45,0,1,0,0,0,NA,2,6,0,0,NA,NA,4,NA,NA,2,2,11,8,39,0,0,1,0,0,NA,3,1,0,0,NA,NA,4,NA,NA
